New fit: SimFull
N = 100000
loglh: 2742404.00, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2739976.73, a 0.438, phi 0.651, a1 0.814, a2 -0.818, xip 0.709, xin -0.697
loglh: 2739987.05, a 0.438, phi 0.629, a1 0.814, a2 -0.818, xip 0.709, xin -0.697
loglh: 2739993.28, a 0.438, phi 0.640, a1 0.819, a2 -0.818, xip 0.709, xin -0.697
loglh: 2739970.20, a 0.438, phi 0.640, a1 0.809, a2 -0.818, xip 0.709, xin -0.697
loglh: 2739971.68, a 0.438, phi 0.640, a1 0.814, a2 -0.813, xip 0.709, xin -0.697
loglh: 2739991.77, a 0.438, phi 0.640, a1 0.814, a2 -0.823, xip 0.709, xin -0.697
loglh: 2739973.62, a 0.438, phi 0.640, a1 0.814, a2 -0.818, xip 0.716, xin -0.697
loglh: 2739990.24, a 0.438, phi 0.640, a1 0.814, a2 -0.818, xip 0.702, xin -0.697
loglh: 2739989.55, a 0.438, phi 0.640, a1 0.814, a2 -0.818, xip 0.709, xin -0.690
loglh: 2739974.32, a 0.438, phi 0.640, a1 0.814, a2 -0.818, xip 0.709, xin -0.704
loglh: 2739778.84, a 0.437, phi 0.679, a1 0.769, a2 -0.780, xip 0.761, xin -0.745
loglh: 2739747.60, a 0.436, phi 0.700, a1 0.744, a2 -0.759, xip 0.786, xin -0.769
loglh: 2739745.10, a 0.442, phi 0.700, a1 0.744, a2 -0.759, xip 0.786, xin -0.769
loglh: 2739751.29, a 0.429, phi 0.700, a1 0.744, a2 -0.759, xip 0.786, xin -0.769
loglh: 2739745.40, a 0.436, phi 0.709, a1 0.744, a2 -0.759, xip 0.786, xin -0.769
loglh: 2739751.09, a 0.436, phi 0.690, a1 0.744, a2 -0.759, xip 0.786, xin -0.769
loglh: 2739745.05, a 0.436, phi 0.700, a1 0.749, a2 -0.759, xip 0.786, xin -0.769
loglh: 2739751.84, a 0.436, phi 0.700, a1 0.738, a2 -0.759, xip 0.786, xin -0.769
loglh: 2739750.52, a 0.436, phi 0.700, a1 0.744, a2 -0.753, xip 0.786, xin -0.769
loglh: 2739746.33, a 0.436, phi 0.700, a1 0.744, a2 -0.764, xip 0.786, xin -0.769
loglh: 2739745.45, a 0.436, phi 0.700, a1 0.744, a2 -0.759, xip 0.791, xin -0.769
loglh: 2739750.71, a 0.436, phi 0.700, a1 0.744, a2 -0.759, xip 0.781, xin -0.769
loglh: 2739750.97, a 0.436, phi 0.700, a1 0.744, a2 -0.759, xip 0.786, xin -0.763
loglh: 2739745.22, a 0.436, phi 0.700, a1 0.744, a2 -0.759, xip 0.786, xin -0.774
loglh: 2739728.43, a 0.456, phi 0.743, a1 0.747, a2 -0.757, xip 0.805, xin -0.789
loglh: 2739727.99, a 0.453, phi 0.737, a1 0.747, a2 -0.757, xip 0.803, xin -0.787
loglh: 2739728.96, a 0.460, phi 0.737, a1 0.747, a2 -0.757, xip 0.803, xin -0.787
loglh: 2739728.30, a 0.446, phi 0.737, a1 0.747, a2 -0.757, xip 0.803, xin -0.787
loglh: 2739729.68, a 0.453, phi 0.747, a1 0.747, a2 -0.757, xip 0.803, xin -0.787
loglh: 2739727.64, a 0.453, phi 0.728, a1 0.747, a2 -0.757, xip 0.803, xin -0.787
loglh: 2739728.66, a 0.453, phi 0.737, a1 0.752, a2 -0.757, xip 0.803, xin -0.787
loglh: 2739728.64, a 0.453, phi 0.737, a1 0.742, a2 -0.757, xip 0.803, xin -0.787
loglh: 2739728.51, a 0.453, phi 0.737, a1 0.747, a2 -0.752, xip 0.803, xin -0.787
loglh: 2739728.80, a 0.453, phi 0.737, a1 0.747, a2 -0.762, xip 0.803, xin -0.787
loglh: 2739727.74, a 0.453, phi 0.737, a1 0.747, a2 -0.757, xip 0.809, xin -0.787
loglh: 2739729.46, a 0.453, phi 0.737, a1 0.747, a2 -0.757, xip 0.797, xin -0.787
loglh: 2739729.38, a 0.453, phi 0.737, a1 0.747, a2 -0.757, xip 0.803, xin -0.781
loglh: 2739727.83, a 0.453, phi 0.737, a1 0.747, a2 -0.757, xip 0.803, xin -0.793
loglh: 2739727.00, a 0.453, phi 0.732, a1 0.746, a2 -0.755, xip 0.808, xin -0.791
loglh: 2739727.67, a 0.460, phi 0.732, a1 0.746, a2 -0.755, xip 0.808, xin -0.791
loglh: 2739727.63, a 0.446, phi 0.732, a1 0.746, a2 -0.755, xip 0.808, xin -0.791
loglh: 2739727.51, a 0.453, phi 0.742, a1 0.746, a2 -0.755, xip 0.808, xin -0.791
loglh: 2739727.79, a 0.453, phi 0.723, a1 0.746, a2 -0.755, xip 0.808, xin -0.791
loglh: 2739727.89, a 0.453, phi 0.732, a1 0.750, a2 -0.755, xip 0.808, xin -0.791
loglh: 2739727.42, a 0.453, phi 0.732, a1 0.741, a2 -0.755, xip 0.808, xin -0.791
loglh: 2739727.48, a 0.453, phi 0.732, a1 0.746, a2 -0.750, xip 0.808, xin -0.791
loglh: 2739727.84, a 0.453, phi 0.732, a1 0.746, a2 -0.760, xip 0.808, xin -0.791
loglh: 2739727.64, a 0.453, phi 0.732, a1 0.746, a2 -0.755, xip 0.814, xin -0.791
loglh: 2739727.64, a 0.453, phi 0.732, a1 0.746, a2 -0.755, xip 0.802, xin -0.791
loglh: 2739727.59, a 0.453, phi 0.732, a1 0.746, a2 -0.755, xip 0.808, xin -0.785
loglh: 2739727.69, a 0.453, phi 0.732, a1 0.746, a2 -0.755, xip 0.808, xin -0.797
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.63, a 0.460, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.56, a 0.446, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.59, a 0.453, phi 0.743, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.61, a 0.453, phi 0.724, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.58, a 0.453, phi 0.734, a1 0.749, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.62, a 0.453, phi 0.734, a1 0.740, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.62, a 0.453, phi 0.734, a1 0.744, a2 -0.749, xip 0.809, xin -0.792
loglh: 2739727.58, a 0.453, phi 0.734, a1 0.744, a2 -0.759, xip 0.809, xin -0.792
loglh: 2739727.57, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.815, xin -0.792
loglh: 2739727.61, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.803, xin -0.792
loglh: 2739727.61, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.786
loglh: 2739727.58, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.798
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.460, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.446, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.743, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.724, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.749, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.740, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.59, a 0.453, phi 0.734, a1 0.744, a2 -0.749, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.744, a2 -0.759, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.815, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.803, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.786
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.798
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.460, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.446, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.743, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.724, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.749, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.740, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739727.59, a 0.453, phi 0.734, a1 0.744, a2 -0.749, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.744, a2 -0.759, xip 0.809, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.815, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.803, xin -0.792
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.786
loglh: 2739727.60, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.798
loglh: 2739726.97, a 0.454, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.97, a 0.452, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.97, a 0.453, phi 0.736, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.97, a 0.453, phi 0.732, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.94, a 0.453, phi 0.733, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.97, a 0.453, phi 0.734, a1 0.745, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.97, a 0.453, phi 0.734, a1 0.743, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.745, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.97, a 0.453, phi 0.734, a1 0.744, a2 -0.753, xip 0.809, xin -0.792
loglh: 2739726.97, a 0.453, phi 0.734, a1 0.744, a2 -0.755, xip 0.809, xin -0.792
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.97, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.810, xin -0.792
loglh: 2739726.97, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.808, xin -0.792
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.97, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.791
loglh: 2739726.97, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.794
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739726.94, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.793
loglh: 2739728.47, a 0.460, phi 0.743, a1 0.744, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739728.25, a 0.460, phi 0.734, a1 0.749, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739728.24, a 0.460, phi 0.734, a1 0.744, a2 -0.749, xip 0.809, xin -0.792
loglh: 2739728.15, a 0.460, phi 0.734, a1 0.744, a2 -0.754, xip 0.815, xin -0.792
loglh: 2739728.35, a 0.460, phi 0.734, a1 0.744, a2 -0.754, xip 0.809, xin -0.786
loglh: 2739728.20, a 0.453, phi 0.743, a1 0.749, a2 -0.754, xip 0.809, xin -0.792
loglh: 2739728.31, a 0.453, phi 0.743, a1 0.744, a2 -0.749, xip 0.809, xin -0.792
loglh: 2739727.92, a 0.453, phi 0.743, a1 0.744, a2 -0.754, xip 0.815, xin -0.792
loglh: 2739728.55, a 0.453, phi 0.743, a1 0.744, a2 -0.754, xip 0.809, xin -0.786
loglh: 2739728.01, a 0.453, phi 0.734, a1 0.749, a2 -0.749, xip 0.809, xin -0.792
loglh: 2739728.69, a 0.453, phi 0.734, a1 0.749, a2 -0.754, xip 0.815, xin -0.792
loglh: 2739727.82, a 0.453, phi 0.734, a1 0.749, a2 -0.754, xip 0.809, xin -0.786
loglh: 2739727.79, a 0.453, phi 0.734, a1 0.744, a2 -0.749, xip 0.815, xin -0.792
loglh: 2739728.68, a 0.453, phi 0.734, a1 0.744, a2 -0.749, xip 0.809, xin -0.786
loglh: 2739728.25, a 0.453, phi 0.734, a1 0.744, a2 -0.754, xip 0.815, xin -0.786
-------------------------------------------------------------------------------------------
|   | Name  |   Value   | Hesse Err | Minos Err- | Minos Err+ | Limit-  | Limit+  | Fixed |
-------------------------------------------------------------------------------------------
| 0 | alpha |   0.453   |   0.006   |            |            |   -1    |    1    |       |
| 1 | dphi  |   0.734   |   0.009   |            |            |-3.14159 | 3.14159 |       |
| 2 | alph1 |   0.744   |   0.005   |            |            |    0    |    1    |       |
| 3 | alph2 |  -0.754   |   0.005   |            |            |   -1    |    0    |       |
| 4 | xip   |   0.809   |   0.006   |            |            |    0    |  1.01   |       |
| 5 | xin   |  -0.792   |   0.006   |            |            |  -1.01  |    0    |       |
-------------------------------------------------------------------------------------------
------------------------------------------------------------------
| FCN = 2.74E+06                |     Ncalls=166 (166 total)     |
| EDM = 1.92E-05 (Goal: 5E-06)  |            up = 0.5            |
------------------------------------------------------------------
|  Valid Min.   | Valid Param.  | Above EDM | Reached call limit |
------------------------------------------------------------------
|     True      |     True      |   False   |       False        |
------------------------------------------------------------------
| Hesse failed  |   Has cov.    | Accurate  | Pos. def. | Forced |
------------------------------------------------------------------
|     False     |     True      |   True    |   True    | False  |
------------------------------------------------------------------
[[ 1.         -0.12663606 -0.04510391  0.05017316  0.06856321 -0.06872774]
 [-0.12663606  1.         -0.14986166  0.13997553  0.31124101 -0.29521272]
 [-0.04510391 -0.14986166  1.         -0.08528122 -0.38737915  0.37963642]
 [ 0.05017316  0.13997553 -0.08528122  1.          0.39227085 -0.37727173]
 [ 0.06856321  0.31124101 -0.38737915  0.39227085  1.         -0.31790524]
 [-0.06872774 -0.29521272  0.37963642 -0.37727173 -0.31790524  1.        ]]
alpha: 1.939
dphi : 2.859
alph1: 1.530
alph2: 1.531
xip  : 2.050
xin  : 2.029
New fit: 3D Full
N = 100000
MULT = 2
[[ 1.          0.28772961 -0.06690843  0.04664034]
 [ 0.28772961  1.         -0.05665309  0.07923782]
 [-0.06690843 -0.05665309  1.          0.86908903]
 [ 0.04664034  0.07923782  0.86908903  1.        ]]
[0.00771995 0.01685758 0.01521294 0.01553734]
Concentration matrix:
[[ 18763.26251804  -2116.58675754   2977.87516744  -2786.85714765]
 [ -2116.58675754   4025.26292742   1816.46403657  -1842.7135814 ]
 [  2977.87516744   1816.46403657  19355.1709603  -16695.32750192]
 [ -2786.85714765  -1842.7135814  -16695.32750192  18572.1299601 ]]
loglh: 5506895.21, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 5505536.05, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.743, xin -0.500
loglh: 5509801.41, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.259, xin -0.500
loglh: 5506678.35, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.525, xin -0.500
loglh: 5507128.72, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.475, xin -0.500
loglh: 5506807.03, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.510, xin -0.500
loglh: 5506986.02, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.490, xin -0.500
loglh: 5509709.48, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.259
loglh: 5505632.85, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.743
loglh: 5507119.03, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.475
loglh: 5506688.09, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.525
loglh: 5506982.03, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.490
loglh: 5506811.02, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.510
loglh: 5504161.15, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.817, xin -0.805
loglh: 5504160.19, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.801, xin -0.789
loglh: 5504159.26, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.789
loglh: 5504163.30, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.793, xin -0.789
loglh: 5504163.05, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.801, xin -0.781
loglh: 5504159.58, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.801, xin -0.797
loglh: 5504158.65, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.807, xin -0.794
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.796
loglh: 5504159.79, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.817, xin -0.796
loglh: 5504159.94, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.800, xin -0.796
loglh: 5504159.88, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.787
loglh: 5504159.86, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.804
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.796
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.796
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.796
loglh: 5504159.88, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.818, xin -0.796
loglh: 5504159.92, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.800, xin -0.796
loglh: 5504159.90, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.787
loglh: 5504159.90, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.805
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.796
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.796
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.796
loglh: 5504159.88, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.818, xin -0.796
loglh: 5504159.92, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.800, xin -0.796
loglh: 5504159.90, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.787
loglh: 5504159.90, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.805
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.796
loglh: 5504159.88, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.818, xin -0.796
loglh: 5504159.92, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.800, xin -0.796
loglh: 5504159.90, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.787
loglh: 5504159.90, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.805
loglh: 5504158.64, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.811, xin -0.796
loglh: 5504158.64, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.807, xin -0.796
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.796
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.808, xin -0.796
loglh: 5504158.64, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.794
loglh: 5504158.64, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.797
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.795
loglh: 5504158.59, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.809, xin -0.796
loglh: 5504161.20, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.818, xin -0.787
-------------------------------------------------------------------------------------------
|   | Name  |   Value   | Hesse Err | Minos Err- | Minos Err+ | Limit-  | Limit+  | Fixed |
-------------------------------------------------------------------------------------------
| 0 | alpha |   0.46    |   0.10    |            |            |   -1    |    1    |  yes  |
| 1 | dphi  |    0.7    |    1.0    |            |            |-3.14159 | 3.14159 |  yes  |
| 2 | alph1 |   0.75    |   0.10    |            |            |    0    |    1    |  yes  |
| 3 | alph2 |   -0.75   |    0.10   |            |            |   -1    |    0    |  yes  |
| 4 | xip   |   0.809   |   0.006   |            |            |    0    |  1.01   |       |
| 5 | xin   |  -0.796   |   0.006   |            |            |  -1.01  |    0    |       |
-------------------------------------------------------------------------------------------
------------------------------------------------------------------
| FCN = 5.504E+06               |      Ncalls=53 (53 total)      |
| EDM = 4.78E-05 (Goal: 5E-06)  |            up = 0.5            |
------------------------------------------------------------------
|  Valid Min.   | Valid Param.  | Above EDM | Reached call limit |
------------------------------------------------------------------
|     True      |     True      |   False   |       False        |
------------------------------------------------------------------
| Hesse failed  |   Has cov.    | Accurate  | Pos. def. | Forced |
------------------------------------------------------------------
|     False     |     True      |   True    |   True    | False  |
------------------------------------------------------------------
[[1.00000000e+00 3.54856322e-10]
 [3.54856322e-10 1.00000000e+00]]
alpha: 31.623
dphi : 316.228
alph1: 31.623
alph2: 31.623
xip  : 1.743
xin  : 1.748
New fit: ss1d, constr: False
N = 100000
MULT = 2
[[ 1.          0.28772961 -0.06690843  0.04664034]
 [ 0.28772961  1.         -0.05665309  0.07923782]
 [-0.06690843 -0.05665309  1.          0.86908903]
 [ 0.04664034  0.07923782  0.86908903  1.        ]]
[0.00771995 0.01685758 0.01521294 0.01553734]
Concentration matrix:
[[ 18763.26251804  -2116.58675754   2977.87516744  -2786.85714765]
 [ -2116.58675754   4025.26292742   1816.46403657  -1842.7135814 ]
 [  2977.87516744   1816.46403657  19355.1709603  -16695.32750192]
 [ -2786.85714765  -1842.7135814  -16695.32750192  18572.1299601 ]]
loglh: 5522327.70, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 5522004.67, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.743, xin -0.500
